Sentiment,Text
Negative,Avoid this at all costs.
Positive,The experience was delightful and fun.
Negative,I hated every minute of it.
Negative,Worst movie I've ever seen.
Negative,Worst movie I've ever seen.
Positive,The experience was delightful and fun.
Positive,Such a positive surprise.
Negative,Extremely disappointing.
Negative,It was a waste of money.
Positive,I absolutely loved this!
Negative,I regret doing this.
Negative,I hated every minute of it.
Positive,This is my favorite!
Negative,Not good at all.
Positive,Highly recommend this to anyone.
Negative,Not worth the time.
Positive,"This was fantastic, I'd do it again."
Positive,Absolutely wonderful!
Negative,Not worth the time.
Positive,It exceeded all my expectations.
Negative,This was terrible and boring.
Positive,I absolutely loved this!
Negative,Extremely disappointing.
Positive,"I loved this product, it's amazing!"
Negative,This was terrible and boring.
Negative,Would not recommend.
Positive,Loved every moment!
Positive,Absolutely wonderful!
Positive,"This was fantastic, I'd do it again."
Positive,"I loved this product, it's amazing!"
