Sentiment,Text
Positive,Such a positive surprise.
Negative,I feel scammed.
Negative,Absolutely awful.
Negative,Terrible customer support.
Positive,It exceeded all my expectations.
Negative,Awful execution.
Positive,Perfect from start to finish.
Negative,Would give 0 stars if I could.
Positive,Awesome quality and service.
Positive,So uplifting!
Negative,Never again.
Positive,I absolutely loved this!
Negative,A huge letdown.
Positive,Delightful and fun.
Negative,Very frustrating experience.
Negative,Fails in every way.
Positive,Incredible product.
Positive,Wonderful and inspiring.
Negative,Do not waste your money.
Positive,Five stars!
Positive,A must-see for everyone.
Negative,I regret doing this.
Positive,This is my favorite!
Negative,Extremely low quality.
Positive,Brilliantly done.
Negative,Not worth the time.
Positive,Fantastic experience!
Negative,Regret buying this.
Positive,Truly impressive work.
Negative,I hated every minute of it.
Positive,Enjoyed every second.
Positive,The best decision I made this week.
Positive,Exceeded my hopes.
Positive,Would happily recommend.
Positive,Very pleased with this purchase.
Negative,Horrible design.
Negative,Not good at all.
Negative,It was a waste of money.
Negative,Extremely disappointing.
Positive,Would definitely do it again.
Negative,Poorly made and unusable.
Negative,Avoid this at all costs.
Negative,This was terrible and boring.
Positive,Loved every moment!
Negative,Worst movie I've ever seen.
Positive,Great value for money.
Positive,I’m very satisfied.
Negative,It broke immediately.
Positive,Highly recommend this to anyone.
Negative,Would not recommend.
